Designator,Footprint,Comment,LCSC Part Number
"C1, C2, C3, C31, C35, C4, C5, C6, C7, C8, C9",0805,22u,C45783 
"C10, C11, C12, C13, C14, C15, C16, C17, C18, C19",0805,47u,C16780 
"C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C30, C32, C33, C34, C36, C37, C38, C39, C40, C41, C42, C43, C44, C45, C46, C47, C48",0603,100nf,C14663 
"D1, D2, D3",0603,0603_LED,C72043 
"R1, R10, R12, R14, R16, R18, R2, R22, R4, R6, R8",0402,2k2,C25879 
"R11, R13, R15, R17, R3, R5, R7, R9",SMD,VG039NCHXTB503,C145161 
"R19, R20, R21",0402,10k,C25744 
"U1, U2, U3",TSSOP-16,74HC238,C60434 
"U10, U11, U4, U5, U6, U7, U8, U9",QSOP-24,SM16206,C121618 
U12,TSSOP-8,PCA9617ADPJ,C128388 
"U13, U14, U15, U16, U17, U18, U19, U20, U21, U22, U23, U24",HSOP-8-1,PT5126A,C782185 
U25,SSO-8,6N137,C110020 
